0,95;0,1;0,33;0,97;0;33;1
0,96;0,1;0,67;0,97;0;46;2
0,96;0,1;1;0,98;0;19;3
0,33;0,1;0,05;0,67;0;208;1
0,22;0,1;0,1;0,43;0,08;1245;2
0,08;0,1;0,14;0,16;0,54;321;3
0,05;0,1;0,19;0,1;0,73;82;4
0,91;0,1;0,07;0,95;0;207;1
0,8;0,1;0,13;0,68;0;2754;2
0,85;0,1;0,2;0,74;0;2320;3
0,85;0,1;0,27;0,69;0;2003;4
1;0,1;0,07;1;0;320;1
0,99;0,1;0,13;0,99;0;2552;2
0,93;0,1;0,2;0,88;0;1325;3
0,9;0,1;0,27;0,86;0;725;4
0,99;0,1;0,1;0,99;0;513;1
0,95;0,1;0,2;0,89;0;3178;2
0,93;0,1;0,3;0,85;0;1982;3
0,91;0,1;0,4;0,84;0,01;1262;4
0,96;0,1;0,17;0,98;0;1575;1
0,94;0,1;0,33;0,95;0;9343;2
0,92;0,1;0,5;0,93;0;6411;3
0,89;0,1;0,67;0,92;0;3893;4
0,89;0,1;0,33;0,94;0;208;1
0,82;0,1;0,67;0,89;0;540;2
0,47;0,1;1;0,73;0,03;177;3
